ind,CCSSR3,CCSSR4,CCSSR5,CCSSR12,CCSSR23,POP
1,117,221,270,241,269,17B
3,117,221,270,241,269,17B
4,117,221,270,241,269,17B
5,117,221,270,241,269,17B
6,117,221,270,241,269,17B
7,117,221,270,241,269,17B
8,117,221,270,241,269,17B
9,117,220,270,241,269,17B
10,117,221,270,241,269,17B
11,117,222,270,241,269,B
12,117,222,270,241,269,B
13,117,222,270,241,269,B
14,117,220,270,242,269,B
15,117,222,270,240,269,B
16,117,222,270,240,269,B
17,117,222,270,241,269,B
18,117,222,270,241,269,B
19,117,220,270,242,269,B
20,117,222,270,240,269,B
21,117,221,270,244,274,BH
22,117,221,270,244,274,BH
23,117,221,270,244,274,BH
24,117,221,270,244,274,BH
25,117,221,270,244,274,BH
26,117,221,270,244,274,BH
27,117,221,270,244,274,BH
28,117,221,270,244,274,BH
29,117,222,270,241,NA,BH
30,117,221,270,244,NA,BH
31,117,222,270,244,274,CI
32,117,222,270,244,274,CI
33,117,222,270,244,274,CI
34,117,222,270,244,274,CI
35,117,222,270,244,274,CI
36,117,223,270,240,269,CI
37,117,223,270,240,269,CI
38,117,221,270,244,274,CI
39,117,221,270,243,274,CI
40,117,221,270,243,274,CI
41,117,222,270,241,269,EL
42,117,220,270,241,269,EL
43,117,220,269,241,269,EL
44,117,220,270,241,269,EL
45,117,220,270,241,269,EL
46,117,220,270,241,269,EL
47,117,222,270,240,269,EL
48,118,227,271,242,269,EL
49,117,222,270,241,269,EL
50,117,220,270,241,269,EL
51,117,222,270,240,269,FX
52,117,222,270,240,269,FX
53,117,222,270,241,269,FX
54,117,222,270,240,269,FX
55,117,222,270,240,269,FX
56,117,220,270,241,269,FX
57,117,222,270,240,269,FX
58,117,220,270,242,269,FX
59,117,220,270,242,269,FX
60,117,220,270,240,269,FX
61,117,221,270,244,274,GD
62,117,222,270,241,269,GD
63,117,221,270,244,274,GD
64,117,221,270,244,274,GD
65,117,222,270,241,269,GD
66,117,221,270,244,274,GD
67,117,222,270,241,269,GD
68,117,221,270,244,274,GD
69,117,221,269,244,274,GD
70,117,222,270,241,269,GD
71,118,221,271,248,269,LV
72,117,220,270,237,269,LV
73,118,221,271,243,269,LV
74,118,221,271,248,269,LV
75,118,221,271,243,269,LV
76,117,220,270,237,269,LV
77,118,221,271,248,269,LV
78,118,221,271,243,269,LV
79,118,221,271,248,269,LV
80,118,221,271,243,269,LV
81,118,221,271,248,269,LV
83,117,222,270,240,269,PV
84,117,222,270,241,269,PV
85,117,222,270,241,269,PV
86,117,222,270,241,269,PV
87,117,222,270,240,269,PV
88,117,222,270,241,269,PV
89,117,222,270,241,269,PV
90,117,222,270,241,269,PV
91,117,222,269,240,269,PV
92,117,222,270,240,269,PV
93,117,222,270,240,269,PV
94,NA,NA,NA,240,269,R72
95,117,222,270,240,269,R72
96,117,222,270,240,269,R72
97,117,222,270,240,269,R72
98,NA,NA,NA,240,269,R72
99,117,222,270,240,269,R72
100,117,223,270,241,269,R72
101,117,222,270,241,269,R72
102,117,222,270,240,269,R72
103,117,222,270,240,269,R72
104,117,222,270,241,269,RL
105,117,222,270,241,269,RL
106,117,222,270,241,269,RL
107,117,222,270,241,269,RL
108,117,222,270,241,269,RL
109,117,222,270,241,269,RL
110,117,222,270,240,269,RL
111,117,222,270,241,269,RL
112,117,222,270,241,269,RL
113,117,222,270,240,269,RL
114,117,220,270,242,269,SC
115,117,220,270,242,269,SC
116,117,220,270,242,269,SC
117,117,220,270,242,269,SC
118,117,220,269,242,269,SC
119,117,220,270,242,269,SC
120,117,220,270,242,269,SC
121,117,220,270,241,269,SC
122,117,220,270,242,269,SC
123,117,220,270,242,269,SC
124,117,222,270,240,269,SL
125,117,222,270,240,269,SL
126,117,222,270,240,269,SL
127,117,222,270,240,269,SL
128,117,222,270,240,269,SL
129,117,222,270,240,269,SL
130,117,222,270,241,269,SL
131,117,222,270,241,269,SM
132,117,222,270,241,269,SM
133,117,222,270,240,269,SM
134,117,222,270,241,269,SM
135,117,222,270,241,269,SM
136,117,222,270,241,269,SM
137,117,222,270,241,269,SM
138,117,222,270,240,269,SM
139,117,222,270,241,269,SM
140,117,222,270,241,269,SX
141,117,222,270,240,269,SX
142,117,222,270,241,269,SX
143,117,222,270,240,269,SX
144,117,222,270,241,269,SX
145,117,222,270,241,269,SX
146,117,222,270,240,269,SX
147,117,222,270,241,269,SX
148,117,222,270,241,269,SX
149,117,222,270,241,269,SX
150,118,221,271,249,269,VP
151,118,221,271,249,269,VP
152,118,227,271,243,269,VP
153,118,227,271,243,269,VP
154,118,221,271,244,269,VP
155,118,221,271,244,269,VP
156,118,227,271,243,269,VP
157,118,221,271,249,269,VP
158,118,227,271,243,269,VP
159,118,221,271,244,269,VP
160,118,223,271,241,269,NF
161,118,221,271,241,269,NF
162,118,223,271,241,269,NF
163,118,223,271,241,269,NF
164,118,223,271,241,269,NF
165,118,221,271,241,269,NF
166,118,223,271,241,269,NF
167,118,223,271,241,269,NF
168,118,223,271,241,269,NF
169,118,221,271,241,269,NF
170,118,223,271,240,269,NF
171,118,223,271,240,269,NF
172,118,221,271,240,269,NF
173,118,221,271,241,269,NF
174,117,222,270,240,269,CUCH
175,121,221,272,242,269,CUCH
176,117,222,270,240,269,CUCH
177,121,221,272,242,269,CUCH
178,118,221,270,244,269,CUCH
179,117,222,270,241,269,CUCH
180,121,221,271,242,269,CUCH
181,118,221,270,244,269,CUCH
182,117,222,270,241,269,CUCH
183,118,221,271,244,269,CUCH
184,118,221,270,244,269,CUCH
185,121,221,271,242,269,CUCH
