ID,Lat,Lon,pie.lat,pie.lon
1,39.54998,-105.28332,39.6,-105.1
2,39.413,-105.515,39.413,-105.515
3,39.783,-105.417,39.783,-105.417
4,39.92,-105.35,39.8,-105.17
5,37.334,-105.092,37.334,-105.04
6,39.19,-104.54,39.19,-104.54
7,39.436,-105.233,39.436,-105
8,39.95,-105.383,39.99,-105.21
9,37.55,-105,37.55,-105
10,37.733,-105.48,37.733,-105.48
11,37.25,-105.12,37.2,-105.12
12,39.451,-105.383,39.57,-105.55
13,39.938,-105.482,39.9,-105.75
14,39.92,-105.5,39.75,-105.6
15,39.35,-105.25,39.25,-105.15
16,37.087,-105.32,37.087,-105.32
17,40.02,-105.42,40.15,-105.25
18,40.05,-105.5,40.08,-105.51
19,39.48,-105.37,39.63,-105.37
20,37.606,-105.183,37.61,-105.183
21,38.741,-106.094,38.741,-106.094
22,39.048,-105.549,39.048,-105.549
