site,color,lat,long,type
17.5 E. Bailey,black,39.54998,-105.28332,Fst
Bailey,red,39.413,-105.515,Fst
S. of Blackhawk,pink,39.783,-105.417,Fst
Copperdale Inn,black,39.92,-105.35,Fst
Cuchara,red,37.334,-105.092,Fst
3m S. of Elbert,pink,39.19,-104.54,Fst
Foxton,red,39.436,-105.233,Fst
Gross Dam Rd.,pink,39.95,-105.383,Fst
La Veta,red,37.55,-105,Fst
Mosca,red,37.733,-105.48,Fst
North Fork,red,37.25,-105.12,Fst
Pine Valley rd. near 285,red,39.451,-105.383,Fst
Rt. 72,black,39.938,-105.482,Fst
Rollinsville Rd. (Rt.15),black,39.92,-105.5,Fst
Spring Creek,red,39.35,-105.25,Fst
San Francisco,red,37.087,-105.32,Fst
Sugar Loaf,black,40.02,-105.42,Fst
Sawmill Rd.,black,40.05,-105.5,Fst
Scaffer's Crossing,red,39.48,-105.37,Fst
N. of La Veta Pass,pink,37.606,-105.183,Fst
W. Nathrop,red,38.741,-106.094,Fst
Wilkerson Pass,pink,39.048,-105.549,Fst
72High,green,39.9400667,-105.5028333,Qst
72Med,green,39.9355333,-105.4493833,Qst
Noe,green,39.18155,-104.9050833,Qst
TopCaribou,green,39.9788667,-105.5738167,Qst
Hwy86,green,39.3784833,-104.70325,Qst
Smiths,green,39.8961,-105.35345,Qst
Spring Creek,green,39.3559167,-105.2473333,Qst
Wilkerson Pass,green,39.0476667,-105.5488667,Qst
Caribou Rd,green,39.9699333,-105.5379167,Qst
West Chicago Creek,green,39.6889833,-105.46415,Qst
Georgetown,green,39.75885,-105.6523333,Qst
Over Guenella Pass,green,39.4771167,-105.6874167,Qst
MRS,green,40.0322667,-105.5208667,Qst
Hwy105,green,39.43035,-104.96455,Qst
Golden,green,39.81465,-105.393,Qst
Lefthand Canyon,green,40.069,-105.458,Qst
Cuchara,green,37.32775,-105.083,Qst
