id,CorollaWidth,CorollaLength,PetalLength,Color,NectarAmt,NectarConc,Root,Fdate
1,0.839483127,0.38220423,0.295150826,-0.516290649,0.570911043,-0.398150981,0.151491082,-0.234403466
2,NA,NA,NA,-0.408398008,-0.462393207,-0.003571631,0.725348887,0.143213534
3,1.028472457,-0.440593887,-0.605115927,-0.806816003,0.65379181,-0.74796597,0.013549365,-1.209254628
4,2.075675632,-0.111376304,0.388251971,-0.031188568,0.473227006,-0.398150981,1.160219627,-1.545161578
5,-0.841831312,0.480886211,0.008034115,-0.885381773,-1.051941641,-0.398150981,0.089532316,0.803351133
6,1.79625301,0.875504602,-0.933782887,-0.193130096,-0.739554099,0.30405894,-0.198114466,-1.463777893
7,0.349247939,-0.934679891,-0.933782887,-0.316948135,-2.587175473,0.392068865,-0.162504535,0.674711948
8,-0.023042036,-1.033535998,0.66024609,-0.643874062,-1.261308109,0.480129398,1.129628816,0.674711948
9,0.522766411,-0.440593887,-0.499011867,-0.703823349,-0.606401533,-0.5731689,0.590880371,-0.464051706
10,-0.55770281,0.612444981,-0.712906827,-0.915717923,-2.189095412,-0.222915811,1.109369861,-1.736208065
11,0.611513521,-0.308890674,0.295150826,-0.353635871,0.213442465,0.392068865,0.39371479,0.410815489
12,0.017148243,0.612444981,-1.398532999,-0.811494436,-0.359468574,-0.310560329,0.980244391,-0.664024706
13,NA,NA,NA,-0.080960561,-0.533376056,0.30405894,0.013549365,0.500418569
14,0.88616334,1.007006013,-0.090406925,-0.549526086,0.320216649,0.040336703,0.278674581,-0.400237967
15,0.522766411,0.349307753,-1.162139544,-0.430626249,0.001518885,-0.222915811,1.029391525,-0.464051706
16,1.028472457,1.204223377,-0.090406925,-0.058209445,-1.189392213,0.260073079,1.65074104,-0.29975453
17,1.17430349,-1.099447488,-2.874511031,-0.543884407,-0.244320531,0.30405894,1.42505899,-1.463777893
18,NA,NA,NA,0.042892178,-0.922080396,-1.965030477,1.243007331,-1.066153601
19,0.500790025,-0.226587173,-0.342899444,-0.616350469,-0.244320531,0.480129398,1.877828122,-0.717654487
20,1.028472457,0.72754298,0.434335005,-0.585572504,-0.662597223,0.30405894,1.295668411,-1.016521572
21,0.996549337,0.502814032,-0.291647705,-0.621682889,0.186103539,-0.398150981,0.980244391,-0.52414848
22,0.160082594,0.875504602,0.008034115,-0.045265646,-0.542389725,-0.135217847,1.029391525,-1.142910344
23,1.028472457,0.415099463,-1.046992805,-0.34392065,-0.393323269,0.128192467,1.019511167,-0.956035407
24,1.741885421,0.612444981,1.174168951,-0.310040305,-0.342705238,0.040336703,0.343968958,0.363360898
25,-1.369768413,0.480886211,0.105080325,-0.027267282,0.045225893,-0.83528052,0.65302966,-1.545161578
26,0.306670597,-0.275968264,1.007045609,-0.117859461,-0.986124164,-0.922538452,-0.316581848,-1.278079727
27,-1.432325716,0.480886211,-0.712906827,-0.116182019,-0.393323269,-0.310560329,0.128132078,-1.463777893
