pop,loc4,loc8,loc7,loc1,loc6,loc2,loc10,loc11,loc5,loc3,loc9
1,0505,0404,5961,0934,0909,1229,5555,0742,1515,1818,0611
1,0406,1414,1635,2729,0626,0818,3454,1219,1919,1515,5555
1,0606,1414,5864,4152,2626,1216,5858,3142,1519,1515,6369
1,0406,0404,1616,3439,0835,1129,3737,1515,1919,1315,6161
1,0406,0204,1619,3241,1718,2429,4747,3939,1919,1315,1152
1,0506,0405,1648,2727,0808,1112,4755,4747,0519,0415,1534
1,0404,0505,1616,3239,0811,1118,3846,1719,0519,1515,0606
1,0404,0404,1919,3256,1517,1220,0404,1212,1921,1315,5470
1,0406,0202,6163,3748,1137,0618,5151,2037,1919,0000,0968
2,0404,0404,1617,2537,0737,1012,0441,1619,1921,1515,0915
2,0606,0202,1919,3434,1115,1018,4747,0000,1719,1818,1664
2,0405,0505,1940,1928,0735,1010,0453,4444,1919,1717,5454
2,0506,0000,0000,2860,0514,0820,4949,0426,1919,1515,5454
2,0406,0204,1019,1933,0936,1227,5454,2244,1717,0408,3556
2,0406,0202,2159,1941,1721,1212,0505,1628,2121,0408,1515
2,0606,0606,1717,0333,1138,0608,4965,1028,1717,0000,1517
3,0609,0206,1616,0361,0038,0810,4343,1842,0516,1315,0111
3,0506,0404,1617,1933,1520,0810,0229,0511,1919,1515,4259
3,0420,0404,1961,0350,0837,1919,4655,3434,1919,1515,0963
3,0620,0414,1958,1548,2338,0810,2147,0117,0519,0215,5151
3,0609,0204,1919,0746,1038,0608,3154,1019,1919,1515,1212
3,0606,0406,1724,0952,0909,1320,3841,2020,0519,1515,0967
3,0000,0205,1924,0937,0715,0000,5358,0505,1119,1515,1728
3,0620,0202,1619,3234,0917,0930,3860,1212,1919,1515,0965
3,0000,0404,1631,2735,1323,1015,0467,2451,1319,1515,1515
3,0513,0206,1659,2327,0829,1216,3444,0606,0519,1515,0939
4,0707,0404,2237,2733,0838,1012,0447,0132,1717,1515,1153
4,0606,0404,1625,0325,0839,1213,0000,0441,0517,0415,1527
4,0606,0202,2263,2535,1537,1018,3560,0132,1719,0517,1515
4,0001,0606,2121,2534,1537,1215,5353,0618,1719,1515,1240
4,0000,0707,0000,0000,0000,0000,0000,0101,0000,0000,0000
4,1919,0406,1722,0909,0837,1218,0444,0432,1919,1517,1153
