site,number,type,lat,long,old.number
Bailey,8,fst,39.413,-105.515,2
SofBlackhawk,7,fst,39.783,-105.417,3
CopperdaleInn,5,fst,39.92,-105.35,4
cuchara,11,fst,37.334,-105.092,5
GrossDamRd,3,fst,39.95,-105.383,8
Rt72,4,fst,39.938,-105.482,13
RollinsvilleRdRt15,6,fst,39.92,-105.5,14
SpringCreek,9,fst,39.35,-105.25,15
SugarLoaf,2,fst,40.02,-105.42,17
SawmillRd,1,fst,40.05,-105.5,18
WilkersonPass,10,fst,39.048,-105.549,22
overgualellapass,8,qst,39.4771167,-105.6874167,2
Golden,7,qst,39.81465,-105.393,3
Smiths,5,qst,39.8961,-105.35345,4
Cuchara,11,qst,37.32775,-105.083,5
72med,3,qst,39.9355333,-105.4493833,8
72high,4,qst,39.9400667,-105.5028333,13
caribou,6,qst,39.9788667,-105.5738167,14
springcreek,9,qst,39.3559167,-105.2473333,15
Lefthand,2,qst,40.069,-105.458,17
MRS,1,qst,40.0322667,-105.5208667,18
wilkersonpass,10,qst,39.0476667,-105.5488667,22
