PlantID,Rack,Block,Mom,Site,Site.num,CorollaWidth,CorollaLength,PetalLength,Color,NectarAmt,NectarConc,Root,Fdate
TJ_250_1_G,47,G,TJ_250,overgualellapass,2,2.35,41.66666667,10.33333333,4,33.33333333,20.33333333,5.46,78
TJ_250_1_H,45,G,TJ_250,overgualellapass,2,2.933333333,36,7.166666667,4,44.5,19,5.09,433
TJ_250_2_B,1,B,TJ_250,overgualellapass,2,2.65,40.66666667,10.5,4,25.25,21.625,5.23,334
TJ_250_B_A,4,G,TJ_250,overgualellapass,2,3.033333333,38.5,8,3.4203,23.25,16.875,5.5,124
TJ_250_B_C,4,G,TJ_250,overgualellapass,2,NA,NA,NA,4,24.16666667,23.33333333,6.63,445
TJ_250_B_D,8,G,TJ_250,overgualellapass,2,3.1,35.66666667,5.5,4,28.5,21,NA,246
TJ_250_B_H,54,G,TJ_250,overgualellapass,2,2.666666667,37.66666667,7.416666667,4,37.5,21.16666667,5.36,382
TJ_250_B_I,86,G,TJ_250,overgualellapass,2,2.75,43.33333333,9,4,27.16666667,20.83333333,5.49,489
TJ_250_B_J,21,G,TJ_250,overgualellapass,2,2.833333333,31.83333333,7.5,3.4001,13.5,17.33333333,4.98,221
TJ_253_1_A,8,G,TJ_253,overgualellapass,2,NA,NA,NA,4,24.16666667,19.5,7.98,467
TJ_253_1_B,70,G,TJ_253,overgualellapass,2,NA,NA,NA,4,19,21.75,7.28,583
TJ_253_1_C,7,G,TJ_253,overgualellapass,2,NA,NA,NA,NA,NA,NA,8.7,723
TJ_253_1_E,1,B,TJ_253,overgualellapass,2,3.033333333,47,9,4,17.16666667,20.16666667,5.75,112
TJ_258_B_C,9,G,TJ_258,overgualellapass,2,NA,NA,NA,NA,NA,NA,6.75,719
AM_229_B_A,90,G,AM_229,Golden,3,NA,NA,NA,0.1958,17.5,22.66666667,4.14,212
AM_230_B_B,74,B,AM_230,Golden,3,2.883333333,44,10.33333333,NA,25.25,17,5.41,704
AM_230_B_C,37,B,AM_230,Golden,3,NA,NA,NA,0.0716,12.66666667,17.83333333,4.86,433
AM_231_B_K,17,G,AM_231,Golden,3,2.766666667,34.83333333,10.16666667,0.1,27.16666667,18.83333333,4.18,382
AM_233_B_B,82,B,AM_233,Golden,3,3.1,41.66666667,10.66666667,NA,NA,NA,NA,627
AM_234_B_B,62,B,AM_234,Golden,3,NA,NA,NA,NA,NA,NA,9.33,706
AM_234_B_E,62,B,AM_234,Golden,3,NA,NA,NA,NA,21.5,18,6.39,547
AM_234_B_H,88,G,AM_234,Golden,3,NA,NA,NA,NA,NA,NA,10.7,716
AM_235_B_C,61,B,AM_235,Golden,3,NA,NA,NA,NA,NA,NA,7.36,686
AM_236_B_A,37,B,AM_236,Golden,3,2.175,42,12.25,0.3766,30.75,18,5.23,267
AM_237_B_A,83,B,AM_237,Golden,3,NA,NA,NA,NA,NA,NA,6.5,677
