Pop,Dam,CorollaWidth,CorollaLength,PetalLength,Color,NectarAmt,NectarConc,Root,Fdate
1,AM_146,2.566666667,44.5,11,0.1454,30,19,5.86,281
1,AM_146,NA,NA,NA,0.1753,18,19.75,5.18,367
1,AM_146,2.5,40.33333333,9.5,0.0835,31.16666667,18.33333333,6.04,102
1,AM_146,2.166666667,42,11.16666667,0.3162,28.66666667,19,4.73,57
1,AM_146,3.266666667,45,10.5,0.0708,13,19,5.94,537
1,AM_149,2.25,47,9,0.2482,15.5,20.33333333,6.33,67
1,AM_150,2.75,37.83333333,9,0.204,4.75,20.5,6.28,502
1,AM_150,2.9,37.33333333,11.66666667,0.1151,11.5,20.66666667,4.76,502
1,AM_150,2.683333333,40.33333333,9.666666667,0.1026,16.66666667,18.66666667,5.33,233
1,AM_150,3.133333333,45.66666667,9.333333333,0.0663,6.333333333,19.33333333,4.78,36
1,AM_151,2.65,41,11,0.1921,25.33333333,20.5,5.56,433
1,AM_151,2.883333333,45.66666667,8.333333333,0.0827,19,19.16666667,4.91,194
1,AM_151,NA,NA,NA,0.294,17.33333333,20.33333333,6.04,456
1,AM_153,2.55,47.66666667,10.33333333,0.137,26.66666667,19.83333333,5.7,246
1,AM_153,2.683333333,44.33333333,8.666666667,0.1688,22.83333333,19.33333333,4.86,233
1,AM_153,2.5,48.66666667,10.33333333,0.304,12,20.25,4.28,267
1,AM_153,2.45,37,6.5,0.1384,20.16666667,20.33333333,4.48,67
1,AM_154,NA,NA,NA,0.3515,14,16,4.65,124
1,AM_154,2.691666667,41.41666667,9.916666667,0.1212,20.16666667,20.66666667,4.09,184
1,AM_154,2.5,46.25,11.25,0.1283,16.16666667,20.33333333,4.6,132
1,AM_154,2.511111111,45.11111111,10,0.12,25,19,4.91,221
1,AM_154,2.825,47,10.5,0.3098,17.25,19.5,4.86,112
1,AM_154,2.5,44.66666667,8.833333333,0.1952,18.66666667,20,4.87,142
1,AM_154,2.266666667,45.66666667,12.66666667,0.2063,19.16666667,19.83333333,5.62,421
1,AM_155,3.533333333,45,10.66666667,0.318,23.33333333,18.16666667,5.26,57
1,AM_155,2.766666667,41.16666667,12.33333333,0.2783,13.5,18,6.5,92
1,AM_155,3.566666667,45,9.333333333,0.279,18.66666667,19.16666667,5.89,67
1,AM_155,2.95,46.2,10.1,0.1006,19,19,5.97,292
1,AM_155,2.65,40,13,0.1786,22.5,18,6.55,309
1,AM_155,3.3,42,10.66666667,0.0911,19.33333333,19.83333333,6.1,142
1,AM_155,2.95,48.5,12.66666667,NA,10,19.5,5.84,570
1,AM_155,NA,NA,NA,NA,NA,NA,9.5,719
1,AM_156,2.583333333,40.66666667,11,0.3783,33.33333333,20.16666667,4.33,30
1,AM_156,2.5,45.33333333,11,0.144,16.16666667,19.5,4.92,246
1,AM_156,2.9,43,12.66666667,0.1738,26.33333333,20,4.7,233
1,AM_157,2.5,45.66666667,11,0.1698,26.66666667,17.16666667,4.67,36
1,AM_157,2.85,39.66666667,9.833333333,0.229,26,18,NA,112
1,AM_157,3.433333333,42.33333333,10,0.1143,33,18,4.01,246
1,AM_157,2.5,40,11.25,0.4198,25.75,18,4.2,31
1,AM_157,2.416666667,40.83333333,11.5,0.0737,24.5,18.83333333,4.01,92
1,AM_157,2.9,45,11.33333333,0.3048,41.5,18.66666667,4.62,49
