"","Qst_Fst","pval","Fst","Qst","Qst CI lower","Qst CI upper"
"CorollaWidth",0.702783553932546,0.02932,0.0260961298955689,0.728879683828115,0.352385029809427,1.31238875220336
"CorolLalength",0.360722063678177,0.00396,0.0260961298955689,0.386818193573746,0.138216305447448,0.704534043741691
"PetalLength",0.113334647979949,0.06252,0.0260961298955689,0.139430777875518,0.0236278717785865,0.43793435753221
"Color",0.763169351983104,0,0.0260961298955689,0.789265481878673,0.530039578686503,0.901884098569057
"NectarAmt",0.438912444319396,0.00332,0.0260961298955689,0.465008574214965,0.184926767449565,0.770651602396992
"NectarConc",-0.0371975345848183,0.09078,0.0260961298955689,-0.0111014046892494,-0.0308365775480443,0.0197206032309163
"Root",0.082692297682035,0.0328,0.0260961298955689,0.108788427577604,0.0193556978074285,0.270008577120458
"FlowerDate",0.113666036993162,0.04372,0.0260961298955689,0.139762166888731,0.0262916593691779,0.39593826279261
"PC1",0.168485525380859,0,0.0260961298955689,0.194581655276428,0.0613841333746473,0.35486997791523
"PC2",-0.238294799391635,0.00016,0.0260961298955689,-0.212198669496066,-0.969284819465008,-0.0447181316975423
"PC3",-0.0170998049122791,0.54166,0.0260961298955689,0.00899632498328983,-0.193801916477865,0.211124951541578
"PC4",-0.037366081238667,0.01666,0.0260961298955689,-0.0112699513430981,-0.0834798256836985,0.0316368864823994
