pop,loc4,loc8,loc7,loc1,loc6,loc2,loc10,loc11,loc5,loc3,loc9
1,0611,0404,6060,2851,1717,1212,0000,1534,0619,0406,4444
1,0609,0202,0000,1927,0815,1621,0000,0000,2121,1113,0000
1,0406,0202,3852,2833,0909,0816,6161,2134,0619,1517,5050
1,0609,0606,0000,0725,0909,1316,5454,0715,1719,1313,0815
1,0609,0606,0000,4062,1523,0808,0335,2020,1719,0213,1131
1,0506,0404,2638,2031,0709,0615,0000,0909,1919,1515,2455
1,0606,0606,5063,2833,0915,1221,0000,3434,0621,1315,3838
1,0611,0404,1616,0321,0711,0406,3636,0000,1919,1515,0950
1,0506,0404,1922,1921,0909,1215,3232,0915,1921,1515,0824
1,0810,0404,1021,1941,0709,0812,3232,4545,1919,1515,0909
2,0808,0606,4050,3437,1719,0608,0000,2026,1919,1315,0615
2,0916,0000,0000,1717,1519,2021,0000,1229,1919,1515,1115
2,0609,0414,1225,1352,0909,1018,4862,0838,0719,1517,1548
2,0607,0204,5055,2946,0909,0627,2031,3334,1719,0415,2749
2,0404,0404,3648,2739,2525,1017,5353,3048,1319,1515,3131
2,0909,0406,1313,3232,0911,1010,1856,1347,1919,1313,1527
2,0505,0202,0936,2937,1538,1012,5863,0629,0707,0115,0911
2,0808,0202,4848,2548,0715,0810,3351,3232,1919,0000,0909
2,0708,0405,0346,0713,1538,1024,0505,1629,0719,1313,0624
2,0406,0204,1746,3636,0719,1218,5555,0617,0719,0415,0715
3,0407,0000,3868,5757,3338,0808,5353,2132,1919,0101,3141
3,0407,0406,2143,2139,3141,1521,1111,0000,1719,1515,0606
3,0606,0406,3843,0932,1839,0813,3643,1524,1719,1315,6060
3,0609,0204,1616,3558,0917,0808,2828,2638,2121,1515,1717
3,0406,0406,1744,0939,1738,1018,0000,1212,1921,1515,2424
3,0606,0204,1653,1932,2031,1318,5165,1532,0523,1313,1313
3,0404,0406,1017,2756,0718,1021,3740,0815,1123,1515,2841
3,0607,0206,4343,3234,1618,1121,3744,2222,0519,1515,1531
3,0000,0000,0000,0000,0000,1216,0000,0000,0000,1515,1212
3,0000,0204,1746,0000,0000,0810,0000,0000,0000,0000,1515
4,0607,0404,5158,2727,1616,1212,5656,2121,1919,0415,4370
4,0404,0406,1717,2549,0819,1010,3636,5050,1919,1517,1515
4,0606,0404,1662,0317,0939,1020,5151,2121,1517,1515,3060
4,0608,0204,2250,2349,1136,0812,4465,0000,1921,1515,2656
4,0507,0202,1052,1349,0837,0000,5369,1313,0519,0215,1548
4,0508,0404,5155,3941,2637,0810,4155,1118,1719,0415,0115
4,0407,0102,2546,1730,0735,1218,1944,1133,1719,1515,2626
4,0607,0406,1763,0000,0937,0811,5656,0916,1919,1515,0915
4,0506,0404,1638,5959,1319,1618,0000,0101,1921,1515,1515
4,0709,0214,1621,2424,0711,2121,3636,4242,1919,0417,1515
5,0707,0404,3861,1024,2644,0000,3858,0808,1313,0615,0912
5,0707,0404,2124,3847,0509,0000,1717,1016,1722,0711,1212
5,0405,0404,1228,1220,0819,1010,3169,1212,1722,0413,1111
5,0610,1515,1313,3554,0609,0101,3434,0823,1624,1313,0414
5,1010,1111,2424,2224,0534,1010,4646,0717,0421,1515,1434
5,0404,0204,1217,2024,1119,1313,4444,1212,1515,0404,0511
5,0617,1313,2152,1216,0009,0000,1543,0524,0707,1515,1214
5,0000,1111,2932,2230,0710,1010,2848,1212,1722,1515,0937
5,0607,0206,4161,0830,1919,0000,2323,0202,1719,1313,1114
5,0507,0404,0000,0610,0710,0000,0000,1120,0000,0000,0909
5,1919,1111,2929,0822,1747,0319,2629,2136,1725,1315,3737
5,0509,0404,0643,0420,0944,1010,5353,0818,0808,0404,1112
5,0000,0000,0000,0000,0009,0000,1616,0303,0000,0404,1215
6,0000,0406,4043,1515,1216,1012,0000,1321,1319,1515,0622
6,0000,0000,0000,4144,1010,0813,0000,0000,0000,1313,1114
6,2323,0406,1919,3244,0714,1020,1662,2633,1919,1315,1558
6,0609,0404,2439,2934,0545,1520,6868,3846,1919,1315,0640
6,0506,0404,3151,1525,0935,1015,0000,2626,1919,1516,0915
6,0406,0000,3846,1937,0810,1010,3131,3535,0519,1317,1215
6,0606,0606,1056,0313,1012,1518,2323,1919,1921,1315,0608
6,0505,0606,1940,1532,1229,0618,5555,2232,1719,0415,0626
6,0708,0406,2727,1544,1014,1021,4949,2039,1719,1516,0931
6,0606,0404,5959,4455,0610,0720,6565,0221,1717,1115,0611
7,0406,0404,6161,0000,0707,1820,4444,1926,1919,1515,1526
7,1214,0204,1225,1523,0717,1016,5167,0511,1919,1315,0209
7,0606,0404,1919,1929,0909,1018,4646,0422,0817,1717,0111
7,0506,0412,6169,2132,0937,1313,5360,1217,1919,1315,0911
7,0606,0206,1619,3636,0507,0610,6262,1939,1919,0415,0615
7,0606,0606,3867,3234,0719,1620,0000,0000,1717,1717,1212
7,0606,0404,1740,0000,0911,1013,4160,5757,0003,1515,1515
7,0610,0406,1647,0307,0938,0620,4040,0212,0719,1515,1149
7,0611,1212,1940,1950,0711,1015,1853,1218,0003,1315,1111
7,0606,0406,6163,2337,0709,0808,4747,0511,2121,1315,1215
8,0609,0206,1616,0361,0038,0810,4343,1842,0516,1315,0111
8,0506,0404,1617,1933,1520,0810,0229,0511,1919,1515,4259
8,0420,0404,1961,0350,0837,1919,4655,3434,1919,1515,0963
8,0620,0414,1958,1548,2338,0810,2147,0117,0519,0215,5151
8,0609,0204,1919,0746,1038,0608,3154,1019,1919,1515,1212
8,0606,0406,1724,0952,0909,1320,3841,2020,0519,1515,0967
8,0000,0205,1924,0937,0715,0000,5358,0505,1119,1515,1728
8,0620,0202,1619,3234,0917,0930,3860,1212,1919,1515,0965
8,0000,0404,1631,2735,1323,1015,0467,2451,1319,1515,1515
8,0513,0206,1659,2327,0829,1216,3444,0606,0519,1515,0939
9,0515,0000,0000,0511,0211,0808,0000,2626,1414,1515,0911
9,0308,0000,2121,0000,0012,0522,5858,2052,0808,0202,1526
9,0808,0404,0000,2730,1010,1012,5555,3838,0711,1515,0911
9,0909,0206,2938,0000,0011,1623,1836,0912,1017,0915,1146
9,0708,0101,6161,0921,0508,1820,3458,0810,0000,1315,0914
9,0609,0202,1729,2828,0000,1223,1818,1213,1010,1515,0912
9,0505,0408,0813,0437,0217,0814,0000,2654,0817,1313,0912
9,0811,0104,0000,1313,0935,0812,3346,2525,1924,0215,1115
9,0610,0000,2138,0404,0911,1232,4040,2252,1017,0115,1214
