pop,dam,Corollawidth,Corollalength,Petallength,color492,nectaramt,nectarconc,Root,fdate,ln_Corollawidth,ln_Corollalength,ln_Petallength,ln_color_adj,ln_nectaramt,ln_nectarconc,ln_Root,ln_fdate
1,TJ_217,2.566666667,38,7.833333333,3.2991,24.83333333,17.83333333,6.4,367,0.94260804,3.63758616,2.058388132,-1.086178402,3.212186837,2.881069365,1.85629799,6.192362489
1,TJ_217,2.55,50.66666667,9.666666667,2.598,20,18.375,5.24,NA,0.936093359,3.925268232,2.268683541,-1.268691736,2.995732274,2.910991045,1.656321498,NA
1,TJ_217,2.733333333,41,9.666666667,4,25.33333333,22.33333333,6.86,489,1.005521865,3.713572067,2.268683541,-0.835947979,3.232121051,3.106080331,1.925707442,5.736572297
1,TJ_217,3.016666667,41.83333333,7.166666667,4,23,19.66666667,5.8,352,1.104152469,3.73369347,1.969440647,-0.949532066,3.135494216,2.978925155,1.757857918,5.204006687
1,TJ_219,2.7,36.33333333,6.666666667,NA,NA,NA,7.29,623,0.993251773,3.592735593,1.897119985,NA,NA,NA,1.986503546,6.514712691
1,TJ_226,2.533333333,39.83333333,11.33333333,3.1213,32,18.5,5.37,445,0.929535959,3.684704083,2.427748236,-1.32,3.465735903,2.917770732,1.680827909,5.572154032
1,TJ_227,2.65,46.66666667,10.33333333,3.0327,17.83333333,19.16666667,4.97,36,0.97455964,3.843030134,2.335374915,-1.588075062,2.881069365,2.953172659,1.60341984,5.327876169
1,TJ_227,3,47.66666667,10.08333333,2.4682,26.16666667,19.375,4.94,246,1.098612289,3.864232342,2.310883895,-1.694522956,3.264486336,2.963983575,1.597365331,5.986452005
1,TJ_228,2.75,43.33333333,8.833333333,2.9571,24.5,18.83333333,5.24,246,1.011600912,3.768922162,2.178532444,-1.505132679,3.198673118,2.935628349,1.656321498,4.86753445
1,TJ_228,3.233333333,42.33333333,10.5,NA,33.66666667,19.5,5.68,367,1.173513597,3.745574798,2.351375257,NA,3.516508228,2.970414466,1.736951233,6.192362489
1,TJ_228,2.716666667,47.5,13,1.9573,11.66666667,23.16666667,6.64,559,0.999405639,3.860729711,2.564949357,-1.788962599,2.456735773,3.142714464,1.893111963,6.03787092
2,TJ_250,2.35,41.66666667,10.33333333,4,33.33333333,20.33333333,5.46,78,0.854415328,3.729701449,2.335374915,-0.956184296,3.506557897,3.012261575,1.69744879,3.784189634
2,TJ_250,2.933333333,36,7.166666667,4,44.5,19,5.09,433,1.076139433,3.583518938,1.969440647,-1.010600411,3.795489189,2.944438979,1.627277831,5.525452939
2,TJ_250,2.65,40.66666667,10.5,4,25.25,21.625,5.23,334,0.97455964,3.705408756,2.351375257,-1.068925978,3.228826156,3.073850053,1.654411278,6.146329258
